Equipe,Nom,Poste,Date de naissance,Taille,Poids
Castres,Marc-Antoine RALLIER,Talonneur,02/12/1988,182,107
Castres,Paul SAUZARET,Talonneur,04/03/1997,184,107
Castres,Christophe SAMSON,2ème ligne,01/03/1984,198,107
Castres,Hans N'KINSI,2ème ligne,21/09/1992,195,115
Castres,Loïc JACQUET,2ème ligne,31/03/1985,198,117
Castres,Rodrigo CAPO ORTEGA,2ème ligne,08/12/1980,195,110
Castres,Victor MOREAUX,2ème ligne,19/09/1993,200,123
Castres,Alex TULOU,3ème ligne,21/03/1987,192,114
Castres,Anthony JELONCH,3ème ligne,28/07/1996,193,105
Castres,Baptiste DELAPORTE,3ème ligne,27/03/1997,190,112
Castres,Camille GÉRONDEAU,3ème ligne,12/03/1988,194,113
Castres,Dorian CLERC,3ème ligne,07/07/1998,194,110
Castres,Kévin GIMENO,3ème ligne,11/09/1991,195,106
Castres,Ma'ama VAIPULU,3ème ligne,21/07/1989,190,112
Castres,Mathieu BABILLOT,3ème ligne,09/09/1993,190,111
Castres,Ludovic RADOSAVLJEVIC,Mêlée,17/08/1989,180,95
Castres,Rory KOCKOTT,Mêlée,25/06/1986,180,92
Castres,Benjamin URDAPILLETA,Ouverture,11/03/1986,178,86
Castres,Thomas FORTUNEL,Ouverture,07/06/1995,177,76
Castres,Florian VIALELLE,Centre,05/10/1993,185,88
Castres,Robert EBERSOHN,Centre,23/02/1989,180,89
Castres,Thomas COMBEZOU,Centre,26/01/1987,184,94
Castres,Yann DAVID,Centre,15/04/1988,185,102
Castres,Armand BATLLE,Ailier,12/04/1987,188,92
Castres,Benjamin LAPEYRE,Ailier,24/09/1986,181,87
Castres,Filipo NAKOSI,Ailier,08/04/1992,182,98
Castres,Julien CAMINATI,Ailier,28/10/1985,178,88
Castres,Martin LAVEAU,Ailier,10/09/1996,182,78
Castres,Taylor PARIS,Ailier,06/10/1992,185,93
Castres,Geoffrey PALIS,Arrière,08/07/1991,189,93
Castres,Julien DUMORA,Arrière,24/03/1988,184,96
Clermont,Beqa KAKABADZE,Pilier,07/09/1995,181,110
Clermont,Davit ZIRAKASHVILI,Pilier,10/10/1983,179,120
Clermont,Duane AHOLELEI,Pilier,16/02/1989,189,130
Clermont,Etienne FALGOUX,Pilier,19/01/1993,182,112
Clermont,Giorgi BERIA,Pilier,11/11/1999,175,107
Clermont,Loni UHILA,Pilier,07/04/1989,182,125
Clermont,Rabah SLIMANI,Pilier,18/10/1989,178,113
Clermont,Sipili FALATEA,Pilier,06/06/1997,184,116
Clermont,John ULUGIA,Talonneur,17/01/1986,180,115
Clermont,Mike TADJER,Talonneur,10/03/1989,183,110
Clermont,Yohan BEHEREGARAY,Talonneur,29/05/1996,180,102
Clermont,Clément LANEN,2ème ligne,01/04/1998,196,103
Clermont,George MERRICK,2ème ligne,04/10/1992,201,126
Clermont,Jaco VAN TONDER,2ème ligne,03/03/1998,197,118
Clermont,Paul JEDRASIAK,2ème ligne,06/02/1993,200,118
Clermont,Sébastien VAHAAMAHINA,2ème ligne,21/10/1991,203,120
Clermont,Sitaleki TIMANI,2ème ligne,19/09/1986,203,120
Clermont,Alexandre FISCHER,3ème ligne,19/01/1998,188,103
Clermont,Alexandre LAPANDRY,3ème ligne,13/04/1989,194,101
Clermont,Arthur ITURRIA,3ème ligne,13/05/1994,198,112
Clermont,Faifili LEVAVE,3ème ligne,15/01/1986,193,111
Clermont,Fritz LEE,3ème ligne,29/08/1988,188,107
Clermont,Judicaël CANCORIET,3ème ligne,25/04/1996,194,112
Clermont,Peceli YATO,3ème ligne,17/01/1993,196,120
Clermont,Charlie CASSANG,Mêlée,08/02/1995,173,84
Clermont,Greig LAIDLAW,Mêlée,12/10/1985,176,78
Clermont,Morgan PARRA,Mêlée,15/11/1988,180,81
Clermont,Rudy PAIGE,Mêlée,02/08/1989,169,77
Clermont,Camille LOPEZ,Ouverture,03/04/1989,176,87
Clermont,Jake MCINTYRE,Ouverture,28/04/1994,177,88
Clermont,Apisai NAQALEVU,Centre,21/08/1989,188,104
Clermont,George MOALA,Centre,05/11/1990,187,104
Clermont,JJ ENGELBRECHT,Centre,22/02/1989,190,94
Clermont,Wesley FOFANA,Centre,20/01/1988,182,93
Clermont,Alivereti RAKA,Ailier,09/12/1994,189,97
Clermont,Damian PENAUD,Ailier,25/09/1996,192,94
Clermont,Peter BETHAM,Ailier,06/01/1989,191,98
Clermont,Rémy GROSSO,Ailier,04/12/1988,191,104
Clermont,Samuel EZEALA,Ailier,11/12/1999,187,94
Clermont,Tim NANAI-WILLIAMS,Ailier,12/06/1989,182,90
Clermont,Isaia TOEAVA,Arrière,15/01/1986,181,100
Clermont,Nick ABENDANON,Arrière,27/08/1986,178,83
Clermont,Setariki TUICUVU,Arrière,07/09/1995,179,94
La Rochelle,Arthur JOLY,Pilier,20/02/1988,189,123
La Rochelle,Dany PRISO,Pilier,02/01/1994,182,110
La Rochelle,Mike CORBEL,Pilier,09/04/1992,179,118
La Rochelle,Ramiro HERRERA,Pilier,14/02/1989,194,123
La Rochelle,Reda WARDI,Pilier,02/08/1995,185,110
La Rochelle,Sila PUAFISI,Pilier,15/04/1988,183,128
La Rochelle,Uini ATONIO,Pilier,26/03/1990,196,152
La Rochelle,Vincent PELO,Pilier,22/04/1988,187,130
La Rochelle,Facundo BOSCH,Talonneur,08/08/1991,180,100
La Rochelle,Jean-Charles ORIOLI,Talonneur,09/08/1989,179,110
La Rochelle,Pierre BOURGARIT,Talonneur,12/09/1997,184,105
La Rochelle,Jone QOVU,2ème ligne,26/07/1985,197,134
La Rochelle,Mathieu TANGUY,2ème ligne,05/06/1996,195,110
La Rochelle,Romain SAZY,2ème ligne,14/10/1986,199,105
La Rochelle,Thomas JOLMÈS,2ème ligne,08/10/1995,204,116
La Rochelle,Thomas LAVAULT,2ème ligne,03/05/1999,199,105
La Rochelle,Kévin GOURDON,3ème ligne,23/01/1990,190,103
La Rochelle,Lopeti TIMANI,3ème ligne,28/09/1990,193,124
La Rochelle,Rémi BOURDEAU,3ème ligne,27/02/1992,195,108
La Rochelle,Victor VITO,3ème ligne,27/03/1987,192,112
La Rochelle,Wiaan LIEBENBERG,3ème ligne,31/08/1992,189,105
La Rochelle,Zeno KIEFT,3ème ligne,02/11/1991,191,102
La Rochelle,Alexi BALÈS,Mêlée,30/05/1990,174,80
La Rochelle,Tawera KERR-BARLOW,Mêlée,15/08/1990,187,91
La Rochelle,Brock JAMES,Ouverture,22/10/1981,179,89
La Rochelle,Ihaia WEST,Ouverture,16/01/1992,175,85
La Rochelle,Maxime LAFAGE,Ouverture,01/09/1994,183,84
La Rochelle,Brieuc PLESSIS-COUILLAUD,Centre,19/03/1994,180,95
La Rochelle,Geoffrey DOUMAYROU,Centre,16/09/1989,186,92
La Rochelle,Jérémy SINZELLE,Centre,02/07/1990,184,88
La Rochelle,Jules FAVRE,Centre,22/03/1999,181,88
La Rochelle,Levani BOTIA,Centre,14/03/1989,182,103
La Rochelle,Pierre AGUILLON,Centre,27/03/1987,180,93
La Rochelle,Arthur RETIÈRE,Ailier,01/08/1997,173,75
La Rochelle,Eliott ROUDIL,Ailier,30/10/1996,184,97
La Rochelle,Gabriel LACROIX,Ailier,19/10/1993,171,80
La Rochelle,Marc ANDREU,Ailier,27/12/1985,170,75
La Rochelle,Kini MURIMURIVALU,Arrière,15/05/1989,176,97
La Rochelle,Vincent RATTEZ,Arrière,24/03/1992,180,78
Lyon,Clément RIC,Pilier,18/07/1988,182,117
Lyon,Francisco GOMEZ KODELA,Pilier,03/07/1985,184,121
Lyon,Hamza KAABÈCHE,Pilier,23/09/1996,188,118
Lyon,Raphaël CHAUME,Pilier,29/04/1989,185,110
Lyon,Vivien DEVISME,Pilier,23/03/1992,175,112
Lyon,Xavier CHIOCCI,Pilier,13/02/1990,180,110
Lyon,Badri ALKHAZASHVILI,Talonneur,31/07/1995,185,110
Lyon,Jérémie MAUROUARD,Talonneur,23/09/1992,181,100
Lyon,Mickaël IVALDI,Talonneur,20/02/1990,181,108
Lyon,Etienne OOSTHUIZEN,2ème ligne,22/12/1992,198,120
Lyon,Félix LAMBEY,2ème ligne,15/03/1994,196,110
Lyon,Hendrik ROODT,2ème ligne,06/11/1987,198,126
Lyon,Kilian GÉRACI,2ème ligne,25/03/1999,200,106
Lyon,Virgile BRUNI,2ème ligne,06/02/1989,198,109
Lyon,Carl FEARNS,3ème ligne,28/05/1989,191,118
Lyon,Dylan CRETIN,3ème ligne,04/05/1997,195,101
Lyon,Julien PURICELLI,3ème ligne,01/08/1981,196,103
Lyon,Liam GILL,3ème ligne,08/06/1992,184,100
Lyon,Loann GOUJON,3ème ligne,23/04/1989,194,106
Lyon,Patrick SOBELA,3ème ligne,12/08/1992,188,105
Lyon,Tanginoa HALAIFONUA,3ème ligne,03/08/1996,196,114
Lyon,Baptiste COUILLOUD,Mêlée,22/07/1997,176,77
Lyon,Jonathan PÉLISSIÉ,Mêlée,06/06/1988,179,83
Lyon,Jean-Marc DOUSSAIN,Ouverture,12/02/1991,174,88
Lyon,Jonathan WISNIEWSKI,Ouverture,16/07/1985,180,85
Lyon,Patricio FERNANDEZ,Ouverture,11/10/1994,192,100
Lyon,Charlie NGATAI,Centre,17/08/1990,188,103
Lyon,Mathieu BASTAREAUD,Centre,17/09/1988,183,123
Lyon,Pierre-Louis BARASSI,Centre,22/04/1998,188,93
Lyon,Rudi WULF,Centre,02/02/1984,182,90
Lyon,Thibaut REGARD,Centre,06/08/1993,180,95
Lyon,Alexis PALISSON,Ailier,09/09/1987,177,85
Lyon,Josua TUISOVA,Ailier,04/02/1994,180,91
Lyon,Noa NAKAITACI,Ailier,11/07/1990,190,94
Lyon,Toby ARNOLD,Ailier,11/09/1987,178,86
Lyon,Xavier MIGNOT,Ailier,27/01/1994,188,100
Lyon,Clément LAPORTE,Arrière,07/01/1998,181,87
Lyon,Jean-Marcellin BUTTIN,Arrière,16/12/1991,190,94
Montpellier,Antoine GUILLAMON,Pilier,04/06/1991,192,136
Montpellier,Daniel BRENNAN,Pilier,23/09/1998,192,132
Montpellier,Grégory FICHTEN,Pilier,13/08/1990,183,124
Montpellier,Jannie DU PLESSIS,Pilier,16/11/1982,188,121
Montpellier,Levan CHILACHAVA,Pilier,17/08/1991,188,118
Montpellier,Lizo GQOBOKA,Pilier,24/03/1990,183,118
Montpellier,Luka AZARIASHVILI,Pilier,30/11/1999,186,118
Montpellier,Misha NARIASHVILI,Pilier,25/05/1990,186,118
Montpellier,Mohamed HAOUAS,Pilier,09/03/1994,185,127
Montpellier,Bismarck DU PLESSIS,Talonneur,22/05/1984,189,114
Montpellier,Guilhem GUIRADO,Talonneur,17/06/1986,183,105
Montpellier,Ronan CHAMBORD,Talonneur,11/04/1994,177,104
Montpellier,Valentin SEILLÉ,Talonneur,07/04/1999,182,108
Montpellier,Vincent GIUDICELLI,Talonneur,25/06/1997,183,100
Montpellier,Youri DELHOMMEL,Talonneur,06/03/1996,181,100
Montpellier,Jacques DU PLESSIS,2ème ligne,12/08/1993,201,123
Montpellier,Julien LEDEVEDEC,2ème ligne,04/06/1986,199,114
Montpellier,Konstantine MIKAUTADZE,2ème ligne,01/07/1991,200,128
Montpellier,Nicolaas Janse VAN RENSBURG,2ème ligne,06/05/1994,200,112
Montpellier,Paul WILLEMSE,2ème ligne,13/11/1992,201,129
Montpellier,Caleb TIMU,3ème ligne,22/02/1994,190,117
Montpellier,Fulgence OUEDRAOGO,3ème ligne,21/07/1986,191,99
Montpellier,Julien BARDY,3ème ligne,03/04/1986,188,98
Montpellier,Kélian GALLETIER,3ème ligne,18/03/1992,188,100
Montpellier,Kévin KORNATH,3ème ligne,27/12/1996,194,110
Montpellier,Louis PICAMOLES,3ème ligne,05/02/1986,192,118
Montpellier,Lucas DE CONINCK,3ème ligne,15/01/1996,194,110
Montpellier,Martin DEVERGIE,3ème ligne,26/06/1995,193,116
Montpellier,Yacouba CAMARA,3ème ligne,02/06/1994,195,112
Montpellier,Benoît PAILLAUGUE,Mêlée,17/11/1987,172,74
Montpellier,Enzo SANGA,Mêlée,19/05/1995,176,75
Montpellier,Kahn FOTUALI'I,Mêlée,22/05/1982,183,96
Montpellier,Aaron CRUDEN,Ouverture,08/01/1989,178,84
Montpellier,Handré POLLARD,Ouverture,11/03/1994,189,98
Montpellier,Thomas DARMON,Ouverture,12/05/1998,181,83
Montpellier,Arthur VINCENT,Centre,30/09/1999,183,90
Montpellier,François STEYN,Centre,14/05/1987,191,111
Montpellier,Jan SERFONTEIN,Centre,15/04/1993,187,97
Montpellier,Vincent MARTIN,Centre,04/09/1992,185,93
Montpellier,Yvan REILHAC,Centre,09/06/1995,182,92
Montpellier,Gabriel N'GANDEBE,Ailier,30/03/1997,174,75
Montpellier,Nemani NADOLO,Ailier,31/01/1988,194,130
Montpellier,Pierre TOURNEBIZE,Ailier,25/09/1998,186,98
Montpellier,Timoci NAGUSA,Ailier,14/07/1987,183,106
Montpellier,Anthony BOUTHIER,Arrière,19/06/1992,182,86
Montpellier,Benjamin FALL,Arrière,03/03/1989,186,93
Montpellier,Henry IMMELMAN,Arrière,26/05/1995,189,96
Montpellier,Johan GOOSEN,Arrière,27/07/1992,184,89
Paris,Carlü SADIE,Pilier,07/03/1997,180,124
Paris,Christopher VAOTOA,Pilier,16/11/1996,185,138
Paris,Giorgi MELIKIDZE,Pilier,24/05/1996,179,117
Paris,Luke TAGI,Pilier,23/06/1997,187,130
Paris,Paul ALO-EMILE,Pilier,22/12/1991,180,128
Paris,Quentin BÉTHUNE,Pilier,25/09/1995,183,112
Paris,Sami MAVINGA,Pilier,25/05/1993,181,116
Paris,Stéphane CLÉMENT,Pilier,03/09/1987,183,121
Paris,Thierry FUTEU,Pilier,23/06/1995,186,114
Paris,Damien FITZPATRICK,Talonneur,08/06/1989,183,105
Paris,Laurent PANIS,Talonneur,23/04/1993,180,102
Paris,Lucas DA SILVA,Talonneur,19/12/1997,188,115
Paris,Rémi BONFILS,Talonneur,26/09/1988,178,101
Paris,Sione ANGA'AELANGI,Talonneur,07/11/1988,180,106
Paris,Tolu LATU,Talonneur,23/02/1993,180,113
Paris,Hugh PYLE,2ème ligne,21/09/1988,201,116
Paris,Mathieu DE GIOVANNI,2ème ligne,10/01/1994,197,115
Paris,Paul GABRILLAGUES,2ème ligne,03/06/1993,199,119
Paris,Pierre-Henri AZAGOH,2ème ligne,25/07/1998,198,105
Paris,Yoann MAESTRI,2ème ligne,14/01/1988,202,119
Paris,Antoine BURBAN,3ème ligne,22/07/1987,189,101
Paris,Charlie FRANCOZ,3ème ligne,03/06/1998,195,108
Paris,Joketani KOROI,3ème ligne,01/01/1996,198,115
Paris,Josh STRAUSS,3ème ligne,23/10/1986,200,114
Paris,Loïc GODENER,3ème ligne,13/08/1995,188,115
Paris,Pablo MATERA,3ème ligne,18/07/1993,193,110
Paris,Ryan CHAPUIS,3ème ligne,12/12/1997,189,104
Paris,Sekou MACALOU,3ème ligne,20/04/1995,195,100
Paris,Talalelei GRAY,3ème ligne,28/02/1990,194,110
Paris,Willem ALBERTS,3ème ligne,11/05/1984,192,120
Paris,Arthur COVILLE,Mêlée,04/02/1998,178,83
Paris,Clément DAGUIN,Mêlée,25/05/1992,180,87
Paris,James HALL,Mêlée,02/01/1996,172,84
Paris,Joris SEGONDS,Ouverture,06/04/1997,180,91
Paris,Jules PLISSON,Ouverture,20/08/1991,184,88
Paris,Morné STEYN,Ouverture,11/07/1984,183,91
Paris,Nicolas SANCHEZ,Ouverture,26/10/1988,177,85
Paris,Alex ARRATE,Centre,24/06/1997,180,90
Paris,Gaël FICKOU,Centre,26/03/1994,190,100
Paris,Jonathan DANTY,Centre,07/10/1992,181,107
Paris,Julien DELBOUIS,Centre,04/08/1999,185,95
Paris,Lionel MAPOE,Centre,13/07/1988,183,95
Paris,Adrien LAPÈGUE,Ailier,21/10/1998,181,88
Paris,Julien ARIAS,Ailier,26/10/1983,178,89
Paris,Lester ETIEN,Ailier,21/06/1995,180,90
Paris,Ruan COMBRINCK,Ailier,10/05/1990,183,97
Paris,Sefa NAIVALU,Ailier,07/01/1992,186,101
Paris,Waisea NAYACALEVU,Ailier,26/06/1990,193,104
Paris,Kylan HAMDAOUI,Arrière,15/04/1994,182,84
Pau,Geoffrey MOÏSE,Pilier,20/08/1991,187,130
Pau,Ignacio CALLES,Pilier,24/10/1995,187,116
Pau,Lourens ADRIAANSE,Pilier,05/02/1988,181,115
